255,191,13287,5,0,0:0:0:0:
140,177,14942,1,0,0:0:0:0:
255,191,16597,1,0,0:0:0:0:
255,191,18252,1,0,0:0:0:0:
255,191,19080,1,0,0:0:0:0:
255,191,19493,1,0,0:0:0:0:
255,191,19907,1,0,0:0:0:0:
255,191,20735,1,0,0:0:0:0:
255,191,21562,1,0,0:0:0:0:
255,191,22390,1,0,0:0:0:0:
255,191,22804,1,0,0:0:0:0:
255,191,23218,5,0,0:0:0:0:
255,191,24045,1,0,0:0:0:0:
255,191,24873,1,0,0:0:0:0:
255,191,25700,1,0,0:0:0:0:
255,191,26114,1,0,0:0:0:0:
255,191,26528,1,0,0:0:0:0:
255,191,27355,1,0,0:0:0:0:
255,191,27769,1,0,0:0:0:0:
235,175,27976,1,0,0:0:0:0:
165,171,28183,1,0,0:0:0:0:
255,191,28597,1,0,0:0:0:0:
255,191,29011,1,0,0:0:0:0:
255,191,29424,1,0,0:0:0:0:
240,147,29838,1,0,0:0:0:0:
255,191,30252,1,0,0:0:0:0:
255,191,30666,1,0,0:0:0:0:
255,191,31080,1,0,0:0:0:0:
255,191,31287,1,0,0:0:0:0:
255,191,31493,1,0,0:0:0:0:
255,191,31907,1,0,0:0:0:0:
255,191,32321,1,0,0:0:0:0:
255,191,32735,1,0,0:0:0:0:
255,191,32942,1,0,0:0:0:0:
255,191,33149,1,0,0:0:0:0:
255,191,33562,1,0,0:0:0:0:
255,191,33976,1,0,0:0:0:0:
255,191,34390,1,0,0:0:0:0:
255,191,34597,1,0,0:0:0:0:
235,139,34804,1,0,0:0:0:0:
255,191,35218,1,0,0:0:0:0:
255,191,35631,1,0,0:0:0:0:
255,191,36045,1,0,0:0:0:0:
235,138,36252,1,0,0:0:0:0:
255,191,36459,1,0,0:0:0:0:
255,191,36873,1,0,0:0:0:0:
255,191,37080,1,0,0:0:0:0:
235,138,37287,1,0,0:0:0:0:
226,196,37700,1,0,0:0:0:0:
185,173,38114,1,0,0:0:0:0:
259,171,38528,1,0,0:0:0:0:
310,154,38735,1,0,0:0:0:0:
372,165,38942,1,0,0:0:0:0:
255,159,39355,1,0,0:0:0:0:
190,148,39769,1,0,0:0:0:0:
235,133,39976,1,0,0:0:0:0:
290,152,40183,1,0,0:0:0:0:
290,152,40390,1,0,0:0:0:0:
